"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Relative Humidity"
"1/1/1999","-0.625","39.496898651123","147","11.874","5.18599999999998","0.799495398797581",
"1/2/1999","-0.625","39.496898651123","147","14.539","5.89499999999998","0.68034701081183",
"1/3/1999","-0.625","39.496898651123","147","15.625","5.03100000000001","0.6070656429631",
"1/4/1999","-0.625","39.496898651123","147","17.545","5.029","0.475521533480284",
"1/5/1999","-0.625","39.496898651123","147","18.789","3.99900000000002","0.539670433108814",
"1/6/1999","-0.625","39.496898651123","147","15.599","3.26999999999998","0.789254594737765",
"1/7/1999","-0.625","39.496898651123","147","19.849","4.86599999999999","0.506771736975804",
"1/8/1999","-0.625","39.496898651123","147","18.64","8.86099999999999","0.413035316678576",
"1/9/1999","-0.625","39.496898651123","147","15.385","8.791","0.65319450176287",
"1/10/1999","-0.625","39.496898651123","147","10.885","4.80700000000002","0.509450777124785",
"1/11/1999","-0.625","39.496898651123","147","10.328","0.73399999999998","0.493300951199937",
"1/12/1999","-0.625","39.496898651123","147","8.64499999999998","-0.418999999999983","0.605605537476323",
"1/13/1999","-0.625","39.496898651123","147","16.048","0.468999999999994","0.634071605652007",
"1/14/1999","-0.625","39.496898651123","147","13.276","3.166","0.754958026973607",
"1/15/1999","-0.625","39.496898651123","147","13.352","2.21100000000001","0.787696703083057",
"1/16/1999","-0.625","39.496898651123","147","15.397","2.14999999999998","0.639788967113202",
"1/17/1999","-0.625","39.496898651123","147","13.21","4.416","0.727921717680809",
"1/18/1999","-0.625","39.496898651123","147","13.331","4.64299999999997","0.541422623250106",
"1/19/1999","-0.625","39.496898651123","147","14.808","2.68799999999999","0.451432243431572",
"1/20/1999","-0.625","39.496898651123","147","15.804","2.536","0.444170117113526",
"1/21/1999","-0.625","39.496898651123","147","12.685","2.54700000000003","0.753468113904563",
"1/22/1999","-0.625","39.496898651123","147","10.753","9.065","0.881242522501059",
"1/23/1999","-0.625","39.496898651123","147","13.832","7.02100000000002","0.844010091130041",
"1/24/1999","-0.625","39.496898651123","147","14.329","4.14400000000001","0.766161186706418",
"1/25/1999","-0.625","39.496898651123","147","15.599","2.97899999999999","0.577024725086613",
"1/26/1999","-0.625","39.496898651123","147","18.148","5.80399999999997","0.495447063335134",
"1/27/1999","-0.625","39.496898651123","147","18.725","9.88","0.530586838834618",
"1/28/1999","-0.625","39.496898651123","147","18.884","8.82999999999998","0.54198471916585",
"1/29/1999","-0.625","39.496898651123","147","19.046","8.09300000000002","0.530687345211506",
"1/30/1999","-0.625","39.496898651123","147","15.711","5.065","0.648129710357415",
"1/31/1999","-0.625","39.496898651123","147","7.69900000000001","-1.79399999999998","0.568387686330919",
"2/1/1999","-0.625","39.496898651123","147","8.65600000000001","-2.988","0.477908501238584",
"2/2/1999","-0.625","39.496898651123","147","10.395","-2.03199999999998","0.555473503936594",
"2/3/1999","-0.625","39.496898651123","147","14.736","0.677000000000021","0.631437423735921",
"2/4/1999","-0.625","39.496898651123","147","18.614","2.12099999999998","0.525948440262637",
"2/5/1999","-0.625","39.496898651123","147","21.379","5.30700000000002","0.490868807379136",
"2/6/1999","-0.625","39.496898651123","147","19.223","6.45100000000002","0.430758462191677",
"2/7/1999","-0.625","39.496898651123","147","18.199","4.41300000000001","0.385876758837706",
"2/8/1999","-0.625","39.496898651123","147","15.328","5.00700000000001","0.539125546270388",
"2/9/1999","-0.625","39.496898651123","147","16.401","5.03899999999999","0.515239208288373",
"2/10/1999","-0.625","39.496898651123","147","10.821","2.87400000000002","0.365510706469866",
"2/11/1999","-0.625","39.496898651123","147","11.073","1.541","0.472931441368127",
"2/12/1999","-0.625","39.496898651123","147","12.622","1.51600000000002","0.531276578160369",
"2/13/1999","-0.625","39.496898651123","147","9.39100000000002","-1.10599999999999","0.485615216209357",
"2/14/1999","-0.625","39.496898651123","147","8.93799999999999","-2.85000000000002","0.441630811105242",
"2/15/1999","-0.625","39.496898651123","147","12.49","-1.411","0.5955200025865",
"2/16/1999","-0.625","39.496898651123","147","15.562","1.05500000000001","0.652567280557334",
"2/17/1999","-0.625","39.496898651123","147","16.062","3.75999999999999","0.607791856081547",
"2/18/1999","-0.625","39.496898651123","147","17.273","4.13299999999998","0.630671142002366",
"2/19/1999","-0.625","39.496898651123","147","19.92","5.13400000000001","0.653146527396652",
"2/20/1999","-0.625","39.496898651123","147","21.968","7.21699999999998","0.500696174582145",
"2/21/1999","-0.625","39.496898651123","147","21.115","9.04899999999998","0.511081781950303",
"2/22/1999","-0.625","39.496898651123","147","23.371","10.939","0.491643698354005",
"2/23/1999","-0.625","39.496898651123","147","19.685","8.21899999999999","0.503567190413128",
"2/24/1999","-0.625","39.496898651123","147","20.445","6.84800000000001","0.531067276623234",
"2/25/1999","-0.625","39.496898651123","147","13.256","8.55200000000002","0.808960512846164",
"2/26/1999","-0.625","39.496898651123","147","15.068","7.53699999999998","0.753970027707392",
"2/27/1999","-0.625","39.496898651123","147","11.147","6.74599999999998","0.866701520903679",
"2/28/1999","-0.625","39.496898651123","147","11.863","9.036","0.816341671532237",
"3/1/1999","-0.625","39.496898651123","147","17.401","5.69299999999998","0.627016635624237",
"3/2/1999","-0.625","39.496898651123","147","20.945","4.428","0.429374744438428",
"3/3/1999","-0.625","39.496898651123","147","20.965","7.45699999999999","0.359721892086898",
"3/4/1999","-0.625","39.496898651123","147","14.315","8.00299999999999","0.408605423197984",
"3/5/1999","-0.625","39.496898651123","147","13.424","6.05700000000002","0.432144354883285",
"3/6/1999","-0.625","39.496898651123","147","15.47","4.26299999999998","0.42181155464098",
"3/7/1999","-0.625","39.496898651123","147","16.391","2.928","0.485481338017326",
"3/8/1999","-0.625","39.496898651123","147","19.822","5.00599999999997","0.47789431579486",
"3/9/1999","-0.625","39.496898651123","147","21.973","3.363","0.568677094712809",
"3/10/1999","-0.625","39.496898651123","147","21.672","6.00299999999999","0.643447697496665",
"3/11/1999","-0.625","39.496898651123","147","19.935","6.59500000000003","0.756482263644125",
"3/12/1999","-0.625","39.496898651123","147","13.928","7.46199999999999","0.87510590185151",
"3/13/1999","-0.625","39.496898651123","147","14.726","8.20699999999999","0.855130877063851",
"3/14/1999","-0.625","39.496898651123","147","11.3","9.55700000000002","0.905427129903218",
"3/15/1999","-0.625","39.496898651123","147","12.513","9.88","0.900771484998857",
"3/16/1999","-0.625","39.496898651123","147","19.606","8.65699999999998","0.658861390061368",
"3/17/1999","-0.625","39.496898651123","147","20.874","8.84899999999999","0.621090507991157",
"3/18/1999","-0.625","39.496898651123","147","20.181","8.49799999999999","0.66743775322783",
"3/19/1999","-0.625","39.496898651123","147","20.724","7.42700000000002","0.500902316023666",
"3/20/1999","-0.625","39.496898651123","147","17.842","5.69999999999999","0.637359742275132",
"3/21/1999","-0.625","39.496898651123","147","19.553","5.125","0.730176562921494",
"3/22/1999","-0.625","39.496898651123","147","20.476","6.73700000000002","0.574238717516912",
"3/23/1999","-0.625","39.496898651123","147","16.547","4.39600000000002","0.635412778136624",
"3/24/1999","-0.625","39.496898651123","147","11.543","4.863","0.831163876935569",
"3/25/1999","-0.625","39.496898651123","147","19.053","7.06299999999999","0.663706426191857",
"3/26/1999","-0.625","39.496898651123","147","15.702","8.31700000000001","0.460611332246474",
"3/27/1999","-0.625","39.496898651123","147","16.032","8.07799999999997","0.439095291748771",
"3/28/1999","-0.625","39.496898651123","147","17.68","7.94499999999999","0.447088609149236",
"3/29/1999","-0.625","39.496898651123","147","19.533","5.40300000000002","0.476711855010731",
"3/30/1999","-0.625","39.496898651123","147","22.956","6.44900000000001","0.560250144895876",
"3/31/1999","-0.625","39.496898651123","147","22.778","6.81","0.593232170946912",
"4/1/1999","-0.625","39.496898651123","147","22.568","5.31599999999997","0.552264554269507",
"4/2/1999","-0.625","39.496898651123","147","24.969","9.44","0.426552221517922",
"4/3/1999","-0.625","39.496898651123","147","26.18","11.055","0.420112528258252",
"4/4/1999","-0.625","39.496898651123","147","25.323","11.856","0.554249236395431",
"4/5/1999","-0.625","39.496898651123","147","26.314","9.767","0.591603606951377",
"4/6/1999","-0.625","39.496898651123","147","27.799","9.84699999999998","0.476781335861644",
"4/7/1999","-0.625","39.496898651123","147","25.641","10.842","0.388919154519752",
"4/8/1999","-0.625","39.496898651123","147","21.012","7.61099999999999","0.380230888269143",
"4/9/1999","-0.625","39.496898651123","147","20.643","6.76100000000002","0.451453971769624",
"4/10/1999","-0.625","39.496898651123","147","26.945","7.887","0.443438413514367",
"4/11/1999","-0.625","39.496898651123","147","26.204","10.72","0.407893503323122",
"4/12/1999","-0.625","39.496898651123","147","26.278","7.11099999999999","0.295886788058745",
"4/13/1999","-0.625","39.496898651123","147","23.419","8.34300000000002","0.461041845963692",
"4/14/1999","-0.625","39.496898651123","147","21.867","6.27600000000001","0.502757509332389",
"4/15/1999","-0.625","39.496898651123","147","16.428","4.45100000000002","0.549570335308475",
"4/16/1999","-0.625","39.496898651123","147","17.488","1.71899999999999","0.461152314529096",
"4/17/1999","-0.625","39.496898651123","147","19.767","10.073","0.364129947065194",
"4/18/1999","-0.625","39.496898651123","147","22.484","6.30000000000001","0.383347883724404",
"4/19/1999","-0.625","39.496898651123","147","24.856","4.36099999999999","0.512871915149409",
"4/20/1999","-0.625","39.496898651123","147","28.99","11.243","0.260032044851964",
"4/21/1999","-0.625","39.496898651123","147","25.073","16.166","0.311903082680355",
"4/22/1999","-0.625","39.496898651123","147","25.139","13.062","0.294870807857811",
"4/23/1999","-0.625","39.496898651123","147","24.122","10.552","0.342593527792437",
"4/24/1999","-0.625","39.496898651123","147","24.116","7.18599999999998","0.473706159458046",
"4/25/1999","-0.625","39.496898651123","147","28.456","7.31999999999999","0.461357852824001",
"4/26/1999","-0.625","39.496898651123","147","23.771","11.063","0.371802844882324",
"4/27/1999","-0.625","39.496898651123","147","19.809","10.097","0.557126408222986",
"4/28/1999","-0.625","39.496898651123","147","13.433","8.45699999999999","0.863623694975587",
"4/29/1999","-0.625","39.496898651123","147","23.343","7.57499999999999","0.613953993533397",
"4/30/1999","-0.625","39.496898651123","147","23.761","9.98200000000003","0.540586488384828",
"5/1/1999","-0.625","39.496898651123","147","21.368","10.066","0.587899207385869",
"5/2/1999","-0.625","39.496898651123","147","22.392","8.77100000000002","0.625233894225239",
