Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Relative Humidity
2/1/1999,103.75,1.405030012,1,32.431,25.631,0.669296765
2/2/1999,103.75,1.405030012,1,30.704,23.526,0.811128267
2/3/1999,103.75,1.405030012,1,30.106,24.272,0.814246438
2/4/1999,103.75,1.405030012,1,28.087,23.627,0.810637195
2/5/1999,103.75,1.405030012,1,29.735,23.727,0.75907549
2/6/1999,103.75,1.405030012,1,29.132,23.721,0.762095349
2/7/1999,103.75,1.405030012,1,30.5,23.836,0.763428577
2/8/1999,103.75,1.405030012,1,30.422,23,0.776856551
2/9/1999,103.75,1.405030012,1,30.8,24.373,0.729484799
2/10/1999,103.75,1.405030012,1,32.911,23.792,0.717593492
2/11/1999,103.75,1.405030012,1,34.165,24.896,0.725130894
2/12/1999,103.75,1.405030012,1,31.549,24.051,0.825901383
2/13/1999,103.75,1.405030012,1,26.154,23.624,0.926841723
2/14/1999,103.75,1.405030012,1,28.471,23.267,0.888980334
2/15/1999,103.75,1.405030012,1,30.28,23.599,0.80097883
2/16/1999,103.75,1.405030012,1,30.2,24.242,0.7725723
2/17/1999,103.75,1.405030012,1,31.571,23.511,0.750351149
2/18/1999,103.75,1.405030012,1,28.749,23.663,0.811889947
2/19/1999,103.75,1.405030012,1,30.001,24.552,0.75745939
2/20/1999,103.75,1.405030012,1,27.852,24.399,0.747869354
2/21/1999,103.75,1.405030012,1,30.559,24.319,0.716268921
2/22/1999,103.75,1.405030012,1,30.299,25.267,0.695168612
2/23/1999,103.75,1.405030012,1,30.007,24.872,0.714855295
2/24/1999,103.75,1.405030012,1,35.893,24.326,0.664642183
2/25/1999,103.75,1.405030012,1,32.412,23.942,0.75557257
2/26/1999,103.75,1.405030012,1,31.851,24.135,0.780236299
2/27/1999,103.75,1.405030012,1,36.186,23.848,0.669107655
2/28/1999,103.75,1.405030012,1,30.309,24.244,0.719369681
3/1/1999,103.75,1.405030012,1,29.644,23.737,0.857966955
3/2/1999,103.75,1.405030012,1,29.926,23.563,0.844904918
3/3/1999,103.75,1.405030012,1,29.657,23.6,0.850668811
3/4/1999,103.75,1.405030012,1,35.01,24.024,0.775507857
3/5/1999,103.75,1.405030012,1,30.314,24.047,0.83228931
3/6/1999,103.75,1.405030012,1,30.965,23.292,0.85538575
3/7/1999,103.75,1.405030012,1,29.579,23.725,0.873194394
3/8/1999,103.75,1.405030012,1,32.604,23.556,0.817509666
3/9/1999,103.75,1.405030012,1,32.438,24.231,0.850853312
3/10/1999,103.75,1.405030012,1,33.234,25.089,0.797489773
3/11/1999,103.75,1.405030012,1,29.588,23.247,0.865932964
3/12/1999,103.75,1.405030012,1,31.295,24.717,0.847857084
3/13/1999,103.75,1.405030012,1,31.546,23.78,0.81775899
3/14/1999,103.75,1.405030012,1,33.417,24.054,0.742544218
3/15/1999,103.75,1.405030012,1,33.766,23.953,0.716229125
3/16/1999,103.75,1.405030012,1,31.652,23.94,0.831553938
3/17/1999,103.75,1.405030012,1,34.795,23.433,0.760808084
3/18/1999,103.75,1.405030012,1,29.362,24.418,0.871088649
3/19/1999,103.75,1.405030012,1,32.337,23.584,0.792993785
3/20/1999,103.75,1.405030012,1,29.335,24.939,0.854066782
3/21/1999,103.75,1.405030012,1,34.066,24.886,0.744922391
3/22/1999,103.75,1.405030012,1,31.057,25.135,0.850712374
3/23/1999,103.75,1.405030012,1,29.773,24.417,0.873740696
3/24/1999,103.75,1.405030012,1,30.019,24.608,0.856420265
3/25/1999,103.75,1.405030012,1,31.988,24.463,0.82556659
3/26/1999,103.75,1.405030012,1,29.572,23.577,0.843412754
3/27/1999,103.75,1.405030012,1,32.447,22.531,0.802915041
3/28/1999,103.75,1.405030012,1,31.716,25.028,0.852240463
3/29/1999,103.75,1.405030012,1,29.73,24.791,0.903089156
3/30/1999,103.75,1.405030012,1,29.804,23.954,0.863427427
3/31/1999,103.75,1.405030012,1,33.369,23.29,0.827873438
4/1/1999,103.75,1.405030012,1,30.231,24.774,0.855136002
4/2/1999,103.75,1.405030012,1,33.196,24.527,0.792864085
4/3/1999,103.75,1.405030012,1,28.282,24.431,0.909972522
4/4/1999,103.75,1.405030012,1,29.503,22.297,0.849307473
4/5/1999,103.75,1.405030012,1,29.902,25.193,0.808462596
4/6/1999,103.75,1.405030012,1,29.911,25.061,0.824679451
4/7/1999,103.75,1.405030012,1,30.889,25.071,0.843142034
4/8/1999,103.75,1.405030012,1,30.612,25.035,0.805641541
4/9/1999,103.75,1.405030012,1,31.467,25.691,0.764512097
4/10/1999,103.75,1.405030012,1,31.098,25.775,0.779772822
4/11/1999,103.75,1.405030012,1,32.815,25.216,0.724845074
4/12/1999,103.75,1.405030012,1,33.427,24.3,0.742277272
4/13/1999,103.75,1.405030012,1,32.576,24.215,0.728741735
4/14/1999,103.75,1.405030012,1,33.19,23.974,0.713525496
4/15/1999,103.75,1.405030012,1,34.947,24.585,0.690765896
4/16/1999,103.75,1.405030012,1,31.414,25.177,0.768560005
4/17/1999,103.75,1.405030012,1,31.018,24.891,0.80854538
4/18/1999,103.75,1.405030012,1,29.222,24.601,0.841123342
4/19/1999,103.75,1.405030012,1,32.099,24.788,0.729659503
4/20/1999,103.75,1.405030012,1,32.346,23.55,0.764972863
4/21/1999,103.75,1.405030012,1,28.874,24.258,0.871002206
4/22/1999,103.75,1.405030012,1,30.761,24.711,0.771343106
4/23/1999,103.75,1.405030012,1,31.409,24.691,0.719687474
4/24/1999,103.75,1.405030012,1,33.58,24.526,0.692261396
4/25/1999,103.75,1.405030012,1,29.927,24.02,0.814895058
4/26/1999,103.75,1.405030012,1,32.476,23.498,0.74501087
4/27/1999,103.75,1.405030012,1,29.307,25.351,0.813068829
4/28/1999,103.75,1.405030012,1,30.385,25.053,0.796279686
4/29/1999,103.75,1.405030012,1,30.92,24.871,0.794429412
4/30/1999,103.75,1.405030012,1,33.672,23.561,0.774517018
5/1/1999,103.75,1.405030012,1,33.198,24.624,0.803426559
5/2/1999,103.75,1.405030012,1,31.539,23.808,0.811343403
5/3/1999,103.75,1.405030012,1,34.027,23.087,0.758977347
5/4/1999,103.75,1.405030012,1,35.105,22.707,0.727085042
5/5/1999,103.75,1.405030012,1,34.922,23.365,0.76935991
5/6/1999,103.75,1.405030012,1,35.818,23.424,0.788836208
5/7/1999,103.75,1.405030012,1,30.468,23.308,0.851496239
5/8/1999,103.75,1.405030012,1,30.246,24.692,0.876548183
5/9/1999,103.75,1.405030012,1,31.396,23.43,0.811616119
5/10/1999,103.75,1.405030012,1,29.275,23.669,0.869331939
5/11/1999,103.75,1.405030012,1,31.919,23.299,0.818508106
5/12/1999,103.75,1.405030012,1,31.281,24.235,0.791872733
5/13/1999,103.75,1.405030012,1,29.948,24.118,0.877542397
5/14/1999,103.75,1.405030012,1,31.673,23.654,0.847066559
5/15/1999,103.75,1.405030012,1,27.474,22.191,0.902011839
5/16/1999,103.75,1.405030012,1,28.14,21.953,0.918755664
5/17/1999,103.75,1.405030012,1,29.873,23.253,0.870809203
5/18/1999,103.75,1.405030012,1,29.006,23.944,0.888292883
5/19/1999,103.75,1.405030012,1,30.04,23.83,0.852406359
5/20/1999,103.75,1.405030012,1,29.185,24.454,0.871246281
