Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Relative Humidity
1/1/1999,-0.9375,37.93579865,310,13.609,8.438,0.606478117
1/2/1999,-0.9375,37.93579865,310,16.442,7.425,0.591696748
1/3/1999,-0.9375,37.93579865,310,16.818,8.012,0.631247378
1/4/1999,-0.9375,37.93579865,310,17.625,8.945,0.513514388
1/5/1999,-0.9375,37.93579865,310,16.48,7.92,0.732431798
1/6/1999,-0.9375,37.93579865,310,17.135,10.464,0.759024748
1/7/1999,-0.9375,37.93579865,310,19.615,7.982,0.602921381
1/8/1999,-0.9375,37.93579865,310,20.205,11.574,0.38160589
1/9/1999,-0.9375,37.93579865,310,17.21,10.92,0.537067156
1/10/1999,-0.9375,37.93579865,310,13.731,8.416,0.529308786
1/11/1999,-0.9375,37.93579865,310,12.6,4.781,0.564982089
1/12/1999,-0.9375,37.93579865,310,9.776,7.964,0.715969203
1/13/1999,-0.9375,37.93579865,310,16.224,5.671,0.616353298
1/14/1999,-0.9375,37.93579865,310,13.78,9.306,0.748594875
1/15/1999,-0.9375,37.93579865,310,12.972,9.468,0.770358387
1/16/1999,-0.9375,37.93579865,310,14.596,6.749,0.735521913
1/17/1999,-0.9375,37.93579865,310,15.018,8.801,0.74605459
1/18/1999,-0.9375,37.93579865,310,14.339,8.151,0.492531095
1/19/1999,-0.9375,37.93579865,310,16.073,6.657,0.468060609
1/20/1999,-0.9375,37.93579865,310,14.834,6.758,0.608548596
1/21/1999,-0.9375,37.93579865,310,13.14,7.82,0.794848274
1/22/1999,-0.9375,37.93579865,310,14.327,10.638,0.808155837
1/23/1999,-0.9375,37.93579865,310,15.332,9.765,0.784872454
1/24/1999,-0.9375,37.93579865,310,15.649,9.08,0.740610986
1/25/1999,-0.9375,37.93579865,310,15.373,7.893,0.747509476
1/26/1999,-0.9375,37.93579865,310,17.995,7.529,0.562296913
1/27/1999,-0.9375,37.93579865,310,18.533,9.349,0.565042733
1/28/1999,-0.9375,37.93579865,310,18.787,11.416,0.588574281
1/29/1999,-0.9375,37.93579865,310,19.343,12.651,0.536732426
1/30/1999,-0.9375,37.93579865,310,15.974,10.625,0.6672505
1/31/1999,-0.9375,37.93579865,310,11.433,5.099,0.705593536
2/1/1999,-0.9375,37.93579865,310,9.938,2.815,0.598961235
2/2/1999,-0.9375,37.93579865,310,11.849,3.857,0.554442013
2/3/1999,-0.9375,37.93579865,310,14.875,5.42,0.521850882
